,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Chauncey,Stubbs,Instagram Star,Irvine,29,Gemini,June,19,1992,50176,,
1,Chauncey,Reid,TikTok Star,United States,18,Capricorn,January,19,2004,37726,,
2,Chauncey,Leopardi,Movie Actor, California ,40,Gemini,June,14,1981,21962,,
3,Chauncey,Hollis,Rapper,Fontana,35,Gemini,May,21,1987,35104,,
4,Chauncey,Billups,Basketball Player,Denver,45,Libra,September,25,1976,3474,,
5,Chau,Giang,,Vietnam,66,Cancer,July,2,1955,168536,,
6,Chatyah,Burroughs,TikTok Star, North Carolina ,21,Virgo,August,29,2000,17722,,
7,Chatty,Tally,YouTube Star,United States,18,Scorpio,October,26,2003,68252,,
8,Chatchaya,Songcharoen,Pop Singer,Bangkok,27,Sagittarius,December,16,1994,173693,,
9,Chata,Chata,Pop Singer,Japan,42,Scorpio,November,21,1979,157038,,
10,Chasty,Ballesteros,TV Actress,Vancouver,41,Capricorn,January,3,1981,119721,,
11,Chastity,Chastity,Wrestler, Maryland ,50,Gemini,June,18,1971,77117,,
12,Chasten,Buttigieg,Family Member,Traverse City,32,Cancer,June,23,1989,80190,,
13,Chassy,Coffee,Family Member, California ,44,Sagittarius,November,27,1977,16395,,
14,Chassidy,Smothers,Fitness Instructor,Sacramento,35,Gemini,June,2,1986,121578,,
15,Chassidy,Reynolds,TikTok Star,United States,24,Libra,September,25,1997,88359,,
16,Chasley,Smith,TikTok Star,England,20,Cancer,July,20,2001,61624,,
17,Chaske,Spencer,Movie Actor,Tahlequah,47,Pisces,March,9,1975,56500,,
18,Chasity,Samone,Model, Texas ,31,Aries,April,7,1991,77838,,
19,Chasity,Roman,TikTok Star,Queens,15,Sagittarius,November,26,2006,12970,,
20,Chasity,Gibson,TV Actress,United States,36,Leo,August,17,1985,163198,,
21,Chasity,Elena,Instagram Star,United States,27,Virgo,September,15,1994,75538,,
22,Chasity,Byrd,YouTube Star,United States,9,Sagittarius,December,11,2012,136389,,
23,chasinn.loot,chasinn.loot,TikTok Star,St. Petersburg,19,Pisces,March,3,2003,25545,,
24,ChaseVsEverything,ChaseVsEverything,YouTube Star,Auckland,27,Virgo,August,30,1994,146889,,
25,Chaseten,Martin,YouNow Star, North Carolina ,20,Scorpio,November,20,2001,154497,,
26,Chaseroony,Chaseroony,YouTube Star,Canada,21,Pisces,March,7,2001,10372,,
27,chaserdye,chaserdye,TikTok Star,United States,20,Cancer,June,28,2001,69234,,
