,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,zZToastie,zZToastie,YouTube Star,United States,26,Scorpio,November,12,1995,146914,,
1,Zzoilo,Zzoilo,Pop Singer,Valencia,21,Cancer,June,29,2000,71296,,
2,Zzlegendary,Zzlegendary,YouTube Star,Canada,26,Libra,September,27,1995,180387,,
3,ZzirGrizz,ZzirGrizz,YouTube Star,United States,40,Aquarius,January,26,1982,98071,,
4,Zzi_zzi_Baaam,Zzi_zzi_Baaam,TikTok Star,South Korea,23,Capricorn,December,27,1998,158366,,
5,Zz,Ward,Blues Singer,Abington,35,Gemini,June,2,1986,33150,,
6,ZZ,Hill,World Music Singer, TX ,,Libra,September,30,1935,108689,Apr 27,
7,Zyye,Zyye,YouTube Star,United States,20,Sagittarius,December,14,2001,86616,,
8,Zyshon,Jones,TikTok Star,United States,21,Virgo,September,20,2000,102350,,
9,Zyren,Cruz,TV Actor,Philippines,14,Sagittarius,December,10,2007,121159,,
10,Zyrecaaaa,Zyrecaaaa,TikTok Star,United States,22,Capricorn,January,16,2000,212968,,
11,Zyra,Gorecki,TV Actress, Michigan ,19,Cancer,July,4,2002,137466,,
12,Zyra,Banez,Illustrator,Philippines,26,Cancer,July,20,1995,94453,,
13,ZyQuan,Mitchell,TikTok Star,Columbus,20,Aries,March,25,2002,124387,,
14,Zyphalopagus,Zyphalopagus,YouTube Star,United States,23,Libra,October,3,1998,28170,,
15,Zyper,Zyper,YouTube Star,Canada,24,Aquarius,January,31,1998,42872,,
16,Zyon,Cavalera,Drummer,Phoenix,29,Capricorn,January,19,1993,55832,,
17,Zynthiaz,Zynthiaz,TikTok Star,United States,20,Aquarius,February,10,2002,191753,,
18,Zynnell,Zuh,Movie Actress,Accra,37,Cancer,July,18,1984,171643,,
19,Zynlo,Arreal,TikTok Star, Texas ,21,Scorpio,November,13,2000,119424,,
20,Zymic,Jaranilla,Movie Actor,Philippines,18,Taurus,May,20,2004,147860,,
21,zylyfff,zylyfff,TikTok Star,Albania,19,Pisces,March,6,2003,98288,,
22,Zylus,Zylus,YouTube Star,Netherlands,29,Virgo,September,8,1992,71354,,
23,Zyler,Cat,Cat,Canada,12,Leo,August,1,2009,129539,,
24,Zylbrad,Zylbrad,YouTube Star,Australia,26,Taurus,April,30,1996,11594,,
25,Zyl,Zyl,Stylist,United States,28,Scorpio,November,2,1993,109695,,
26,Zaywoah,Zaywoah,Instagram Star, Ohio ,,Capricorn,January,19,2002,3983,Sep 22,
27,Zygmunt,Felinski,Religious Leader,Ukraine,,Scorpio,November,1,1822,177738,Sep 17,
28,zyflyyy,zyflyyy,TikTok Star, Pennsylvania ,18,Scorpio,October,28,2003,59637,,
29,Zydrunas,Savickas,Bodybuilder,Lithuania,46,Cancer,July,15,1975,57712,,
30,Zydrunas,Ilgauskas,Basketball Player,Kaunas,46,Gemini,June,5,1975,85724,,
31,Zydar,Zydar,YouTube Star,France,41,Sagittarius,November,27,1980,161854,,
32,Zyda,Zyda,YouTube Star,Canada,25,Libra,October,12,1996,86865,,
33,ZybakTV,ZybakTV,YouTube Star,United States,29,Aquarius,January,20,1993,172938,,
34,Zy0x,Zy0x,YouTube Star,United States,,Leo,August,15,,57962,,
35,ZY,Productions,YouTube Star,Singapore,24,Cancer,June,27,1997,177491,,
36,ZXMany,ZXMany,YouTube Star,Canada,,Leo,August,4,,20954,,
37,Zwingfilms,Zwingfilms,YouTube Star,United States,30,Virgo,September,20,1991,214223,,
38,Zwifty2k,Zwifty2k,TikTok Star,Charlotte,21,Gemini,June,9,2000,125442,,
39,ZWG,ZWG,YouTube Star,Poland,26,Libra,September,26,1995,184532,,
