,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Margarita,Krein,YouTube Star,Latvia,33,Pisces,February,22,1989,219586,,
1,Margarita,Kareva,Photographer,Russia,40,Aquarius,February,7,1982,202612,,
2,Margarita,Fores,Chef,Philippines,63,Aries,March,23,1959,216793,,
3,Margarita,Fischer,Movie Actress, IA ,,Aquarius,February,2,1886,210288,Mar 11,
4,MARG,MARG,Pop Singer,Argentina,24,Gemini,May,26,1997,56348,,
5,Margarita,Drobiazko,Speed Skater,Moscow,50,Sagittarius,December,21,1971,190853,,
6,margarita,fernandez,Political Wife,Dominican Republic,57,Taurus,May,1,1965,195697,,
7,Margarita,Barvina,YouTube Star,Ukraine,16,Leo,August,12,2005,19250,,
8,Margarita,Baeza,TikTok Star,Chile,19,Virgo,September,5,2002,123392,,
9,Margarita,Álvarez,Fashion Designer,San Juan,35,Libra,October,16,1986,140163,,
10,Margarida,Vila-Nova,TV Actress,Lisbon,38,Gemini,June,6,1983,212889,,
11,Margarida,Martinho,Instagram Star,Portugal,32,Virgo,August,27,1989,209748,,
12,Margarida,Corceiro,Model,Portugal,19,Scorpio,October,26,2002,16427,,
13,Margarida,Aranha,Reality Star,Lisbon,29,Scorpio,November,18,1992,203173,,
14,Margarida,Antunes,Instagram Star,Portugal,19,Gemini,May,29,2002,80596,,
15,Margarida,Almeida,Blogger,Lisbon,42,Sagittarius,December,12,1979,186478,,
16,Margarette,Naco,TV Actress,Philippines,16,Virgo,September,7,2005,30236,,
17,Margarethe,Trotta,Director,Germany,80,Pisces,February,21,1942,200936,,
18,Margareth,Angelina,World Music Singer,Jakarta,31,Libra,October,5,1990,191928,,
19,Margarete,Schutte-Lihotzky,Architect,Austria,,Aquarius,January,23,1897,201127,Jan 18,
20,Margaret,Margaret,Pop Singer,Poland,30,Cancer,June,30,1991,27283,,
21,Margaret,Zhang,Instagram Star,Australia,28,Gemini,May,28,1993,111316,,
22,Margaret,Wood,Model, Mississippi ,30,Aries,March,26,1992,182407,,
23,Margaret,Wilson,Novelist, Iowa ,,Capricorn,January,16,1882,184266,Oct 6,
24,Margaret,Whitton,Movie Actress, Pennsylvania ,,Sagittarius,November,30,1950,100543,Dec 4,
25,Margaret,Whiting,Country Singer,Detroit,,Cancer,July,22,1924,135196,Jan 10,
26,Margaret,Walker,Poet, Alabama ,,Cancer,July,7,1915,95593,Nov 30,
27,Margaret,Hosea,Instagram Star,Indonesia,51,Virgo,September,19,1970,217887,,
28,Margaret,Tyzack,TV Actress,England,,Virgo,September,9,1931,70921,Jun 25,
29,Margaret,Daniel,,United States,,Aquarius,February,17,1924,105356,Jan 29,
30,Margaret,Thatcher,World Leader,Grantham,,Libra,October,13,1925,6048,Apr 8,
31,Margaret,Sullavan,Movie Actress,Norfolk,,Taurus,May,16,1909,135973,Jan 1,
32,Margaret,Smith,Politician, Maine ,,Sagittarius,December,14,1897,58831,May 29,
33,Margaret,Seddon,Astronaut,Murfreesboro,74,Scorpio,November,8,1947,144346,,
34,Margaret,Scrinkl,Illustrator,Russia,37,Libra,October,21,1984,163288,,
35,Margaret,Sanger,Civil Rights Leader,Corning,,Virgo,September,14,1879,68439,Sep 6,
36,Margaret,Rutherford,Movie Actress,England,,Taurus,May,11,1892,121556,May 22,
37,Margaret,Ritchie,Politician,Northern Ireland,64,Aries,March,25,1958,160263,,
38,Margaret,Ringenberg,Pilot, Indiana ,,Gemini,June,17,1921,167323,Jun 28,
39,Margaret,Qualley,TV Actress, Montana ,27,Scorpio,October,23,1994,9120,,
40,Margaret,Planas,Family Member,Philippines,20,Pisces,February,28,2002,66520,,
41,Margaret,Pellegrini,Movie Actress, Alabama ,,Libra,September,23,1923,104796,Aug 7,
42,Margaret,Palermo,YouTube Star,Hungary,47,Pisces,March,7,1975,129395,,
43,Margaret,Olley,Painter,Australia,,Cancer,June,24,1923,172555,Jul 26,
44,Margaret,O'Brien,Movie Actress,San Diego,85,Capricorn,January,15,1937,72118,,
45,Margaret,Núñez,Fitness Instructor,Colombia,39,Cancer,June,25,1982,219909,,
46,Margaret,Murie,Memoirist,Seattle,,Leo,August,18,1902,184074,Oct 19,
47,Margaret,Mountford,Reality Star,Northern Ireland,70,Sagittarius,November,24,1951,185490,,
48,Margaret,Mitchell,Novelist,Atlanta,,Scorpio,November,8,1900,68166,Aug 16,
49,Margaret,Mee,,England,,Gemini,May,22,1909,149790,Nov 30,
50,Margaret,Mead,Anthropologist,Philadelphia,,Sagittarius,December,16,1901,122523,Nov 15,
51,Margaret,Mahy,Young Adult Author,New Zealand,,Aries,March,21,1936,108599,Jul 23,
52,Margaret,MacLennan,YouTube Star,Canada,34,Cancer,July,5,1987,198527,,
53,Margaret,Lowman,Conservationist, New York ,68,Capricorn,December,23,1953,54916,,
54,Margaret,Livingston,Movie Actress, Utah ,,Sagittarius,November,25,1895,192742,Dec 13,
55,Margaret,Lindsay,Movie Actress, IA ,,Virgo,September,19,1910,152759,May 9,
56,Margaret,Leighton,TV Actress,England,,Pisces,February,26,1922,141322,Jan 13,
57,Margaret,Lee,TikTok Star,United States,19,Leo,August,20,2002,175341,,
58,Margaret,Lawrence,Novelist,Canada,,Cancer,July,18,1926,160311,Jan 5,
59,Margaret,Krohn,Twitch Star, Alabama ,34,Sagittarius,December,12,1987,181585,,
60,Margaret,Knight,Entrepreneur,England,,Aquarius,February,14,1838,111836,Oct 12,
61,Margaret,Kerry,TV Actress,Los Angeles,93,Taurus,May,11,1929,128631,,
62,Margaret,Karcher,Family Member, Wisconsin ,,Pisces,March,2,1915,141440,Jun 6,
63,Margaret,Josephs,Entrepreneur,Elizabeth,55,Aries,April,9,1967,27432,,
64,Margaret,Howell,Fashion Designer,England,75,Virgo,September,5,1946,187959,,
65,Margaret,Hillert,Children's Author, Michigan ,,Aquarius,January,22,1920,121125,Oct 11,
66,Margaret,Hamilton,Movie Actress,Cleveland,,Sagittarius,December,9,1902,20693,May 16,
67,Margaret,Haddix,Children's Author, OH ,58,Aries,April,9,1964,38016,,
68,Margaret,Guilbert,YouTube Star, California ,32,Pisces,March,9,1990,103313,,
69,Margaret,Glaspy,Pop Singer, California ,33,Aquarius,January,22,1989,83369,,
70,Margaret,Fuller,Activist,Cambridge,,Gemini,May,23,1810,126430,Jul 19,
71,Margaret,Forster,Memoirist,England,,Gemini,May,25,1938,189408,Feb 8,
72,Margaret,Ekpo,Civil Rights Leader,Nigeria,,Leo,July,27,1914,199202,Sep 21,
73,Margaret,Edson,Playwright,"Washington, DC",60,Cancer,July,4,1961,173008,,
74,Margaret,Dumont,Movie Actress, New York ,,Libra,October,20,1882,169386,Mar 6,
75,Margaret,Deland,Novelist, Pennsylvania ,,Pisces,February,23,1857,210793,Jan 13,
