,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Lil,Crazed,YouTube Star, Minnesota ,34,Pisces,March,1,1988,89597,,
1,Lil,Cray,Rapper,Cleveland,25,Aries,April,16,1997,58969,,
2,Lil,Cory,Rapper,Columbus,30,Virgo,September,12,1991,81046,,
3,Lil,Conscious,Rapper, TX ,26,Gemini,May,27,1995,112528,,
4,Lil,Chuckee,Rapper,New Orleans,26,Libra,October,1,1995,30660,,
5,Lil,Chris,Pop Singer,Lowestoft,,Virgo,August,26,1990,30762,Mar 23,
6,Lil,China,Instagram Star,China,23,Cancer,July,7,1998,110328,,
7,Lil,Dinero,Rapper,Chicago,28,Aries,March,23,1994,61534,,
8,Lil,Cherry,Rapper,United States,26,Sagittarius,December,7,1995,87829,,
9,Lil,Ceno,Rapper,Chicago,29,Sagittarius,November,28,1992,121582,,
10,lil,cemo,TikTok Star,Chicago,19,Gemini,June,15,2002,173086,,
11,Lil,Cease,Rapper,Brooklyn,44,Leo,August,20,1977,45949,,
12,Lil,Carter,TikTok Star,United States,24,Leo,August,21,1997,63401,,
13,Lil,Paint,Rapper,Chicago,23,Pisces,March,10,1999,20387,,
14,Lil,PGE,Rapper,Los Angeles,23,Virgo,September,6,1998,152323,,
15,Lil,C-Note,Rapper,Jackson,15,Cancer,July,16,2006,45972,,
16,Lil,Buck,Dancer, Tennessee ,33,Gemini,May,25,1988,56901,,
17,Lil,Bub,Cat,Bloomington,,Cancer,June,21,2011,60285,Dec 2,
18,Lil,Brook,Rapper,Dallas,22,Aries,April,3,2000,24165,,
19,Lilí,Brillanti,TV Actress,Mexico City,50,Pisces,March,11,1972,194908,,
20,Lil,Boy,Rapper,Angola,20,Virgo,September,2,2001,127961,,
21,Lil,Bored,YouTube Star,Norway,27,Gemini,June,13,1994,49022,,
22,Lil,Kantu,Rapper,Murrieta,23,Virgo,September,1,1998,79171,,
23,Lil,Zee,TikTok Star,Tampa,21,Virgo,September,7,2000,77523,,
24,Lil,Weep,Rapper,Australia,,Capricorn,January,1,2000,10711,Mar 5,
25,Lil,Blurry,Rapper,San Francisco,16,Virgo,September,1,2005,6316,,
26,Lil,Blood,Rapper,Oakland,34,Taurus,May,2,1988,104666,,
27,Lil,Bit,YouTube Star,United States,26,Gemini,May,22,1995,49408,,
28,Lil,Bibby,Rapper,Chicago,27,Cancer,July,18,1994,5798,,
29,Lil,Bean,Cosplayer,United States,20,Leo,August,15,2001,47613,,
30,Lil,Barnacle,Rapper,Park Ridge,18,Leo,August,14,2003,11847,,
31,Lil,Bankhead,Radio Host,United States,35,Libra,September,24,1986,163930,,
32,Lil,Baby,Rapper,Atlanta,27,Sagittarius,December,3,1994,389,,
33,Lil,Atlanna,TikTok Star,United States,26,Taurus,May,12,1996,52795,,
34,Lil,Armstrong,Jazz Singer,Memphis,,Aquarius,February,3,1898,64168,Aug 27,
35,Lil,Altoid,Rapper, Michigan ,21,Aquarius,January,27,2001,107134,,
36,Lil,Aaron,Rapper, Indiana ,27,Gemini,May,31,1994,26148,,
37,Lil,2z,Rapper,Dallas,23,Libra,October,8,1998,17460,,
38,Lil',Tiger,YouTube Star,United States,7,Virgo,September,19,2014,11425,,
39,Lil',O,Rapper,Lagos,44,Sagittarius,November,22,1977,26854,,
40,Lil',Media,YouTube Star,Canada,12,Leo,August,22,2009,22510,,
41,Calboy,Calboy,Rapper,United States,23,Aries,April,3,1999,5194,,
42,Lil’,Fang,Pop Singer,Tokyo,28,Sagittarius,November,29,1993,91508,,
43,Likybo,Likybo,Rapper,Oakland,24,Sagittarius,December,9,1997,21707,,
44,Likkle,Addi,Rapper,Jamaica,17,Capricorn,December,22,2004,53082,,
45,likemeblog,mom,TikTok Star,Ukraine,27,Libra,September,23,1994,220181,,
46,LikeKristen,LikeKristen,YouTube Star,United States,28,Aries,April,6,1994,149526,,
47,Likeacoldblooded,Likeacoldblooded,Instagram Star,Germany,29,Aquarius,February,12,1993,214873,,
48,Likea,Likea,YouTube Star,Brazil,22,Taurus,May,16,2000,219639,,
49,Like,Eden,YouTube Star,England,22,Capricorn,January,4,2000,80090,,
50,Like,Nastya,YouTube Star,Russia,8,Pisces,February,20,2014,2761,,
51,Like,Mike,DJ,Mechelen,36,Sagittarius,December,2,1985,11017,,
52,Lika,Salmanyan,TV Actress,Armenia,26,Pisces,February,25,1996,144956,,
53,Lika,Roman,Pageant Contestant,Ukraine,37,Taurus,May,12,1985,210940,,
54,Lika,Andreeva,Instagram Star,Russia,28,Aries,March,27,1994,53360,,
55,Lijpe,Lijpe,Rapper,Netherlands,28,Scorpio,October,29,1993,58962,,
56,Lij,Gilmour,Pop Singer,Australia,26,Aquarius,January,24,1996,103275,,
57,Liiz,Pleitez,TV Show Host,El Salvador,29,Pisces,March,4,1993,206733,,
58,Liiyya,Liiyya,YouTube Star,France,29,Capricorn,December,25,1992,134438,,
59,Liise,Liise,TikTok Star,Norway,17,Taurus,May,10,2005,92795,,
60,Liis,Lemsalu,Pop Singer,Tallinn,29,Libra,October,20,1992,37000,,
61,Liina,Pedanik,Pop Singer,Estonia,23,Leo,August,2,1998,32618,,
62,Lihue,González,Instagram Star,Argentina,23,Taurus,May,8,1999,178731,,
63,Lihi,Kornowski,Movie Actress,Israel,29,Sagittarius,November,24,1992,122356,,
64,Lihi,Griner,Reality Star,Holon,37,Libra,October,10,1984,123443,,
65,Ligmafrenchfries,Ligmafrenchfries,TikTok Star,United States,19,Leo,July,31,2002,33408,,
66,Ligia,Uriarte,Model,Mexico City,30,Cancer,July,16,1991,130673,,
67,Ligia,Roca,TV Show Host,El Salvador,35,Cancer,July,1,1986,221570,,
68,Ligia,Petit,TV Actress,Caracas,40,Libra,October,22,1981,202241,,
69,Lígia,Mendes,TV Show Host,Belo Horizonte,41,Gemini,June,13,1980,220177,,
70,Ligia,Król-Osesek,Instagram Star,Poland,29,Cancer,June,24,1992,188128,,
71,lightworkin,lightworkin,TikTok Star,Dallas,20,Sagittarius,December,6,2001,190478,,
72,Lightskinzack,Lightskinzack,TikTok Star,Fort Lauderdale,25,Virgo,September,6,1996,73537,,
73,lightskinkim,lightskinkim,Instagram Star,Trinidad And Tobago,28,Sagittarius,December,1,1993,22693,,
74,Angel,Rivera,Instagram Star, New Jersey ,20,Capricorn,January,6,2002,4963,,
75,Lightshow,Lightshow,Rapper,"Washington, DC",30,Virgo,August,25,1991,35745,,
76,Lightsen,Lightsen,YouTube Star,England,31,Sagittarius,December,12,1990,98227,,
77,LightsCameraSophie,LightsCameraSophie,YouTube Star,Portugal,24,Aries,April,17,1998,79873,,
78,Lights,Lights,Pop Singer,Canada,35,Aries,April,11,1987,13639,,
79,LightningBlueDragon,LightningBlueDragon,YouTube Star,Philippines,19,Sagittarius,December,21,2002,72492,,
80,Lightnin',Hopkins,Guitarist, TX ,,Pisces,March,15,1912,93792,Jan 30,
81,LightGoesRawr,LightGoesRawr,YouTube Star,United States,24,Pisces,March,18,1998,157370,,
82,FGTeeV,Chase,YouTube Star,United States,10,Libra,October,1,2011,1173,,
83,Light,Keisha,Instagram Star,Atlanta,22,Virgo,September,4,1999,5135,,
84,Light,Km,YouTube Star,Kuala Lumpur,46,Gemini,June,6,1975,144639,,
85,Light,GM,Music Producer,Dominican Republic,29,Libra,September,28,1992,204553,,
86,Lifford,Shillingford,Soul Singer,England,45,Gemini,May,24,1976,168476,,
87,Lifewmicco,Lifewmicco,Instagram Star,Sacramento,22,Taurus,April,22,2000,22495,,
88,lifewithml5,lifewithml5,TikTok Star,Haiti,22,Taurus,May,15,2000,30579,,
89,lifewithmarq,lifewithmarq,TikTok Star,Los Angeles,30,Cancer,June,21,1991,198724,,
90,LifeWithJerry,LifeWithJerry,YouTube Star,Freetown,24,Taurus,April,28,1998,40046,,
91,lifewithjania,lifewithjania,YouTube Star,St. Louis,21,Capricorn,December,24,2000,36668,,
92,lifewithcorey,lifewithcorey,YouTube Star,United States,23,Gemini,May,31,1998,218093,,
93,LifeWithBryan,LifeWithBryan,Vine Star,United States,26,Cancer,June,22,1995,115951,,
94,Lifewithaliya,Lifewithaliya,Instagram Star,United States,5,Aquarius,February,9,2017,144897,,
95,Lifewhb,Lifewhb,TikTok Star,Canada,19,Pisces,March,17,2003,179816,,
96,LifesJules,LifesJules,Blogger,United States,30,Taurus,May,5,1992,214672,,
97,lifeofshel,lifeofshel,Cosplayer,United States,26,Cancer,July,13,1995,176090,,
98,LifeOfKenz,LifeOfKenz,Instagram Star,Atlanta,22,Virgo,August,30,1999,23731,,
99,lifeofharrison,lifeofharrison,TikTok Star,Australia,22,Aquarius,January,27,2000,122091,,
100,Grace,Marilyn,YouNow Star,United States,27,Aquarius,February,5,1995,60590,,
101,lifeofadoctor,lifeofadoctor,TikTok Star,Beirut,30,Libra,October,5,1991,108035,,
102,LifeBeingDest,LifeBeingDest,YouTube Star,San Diego,22,Aquarius,January,26,2000,19469,,
103,LifeAsTatiana,LifeAsTatiana,YouTube Star,United States,27,Pisces,March,10,1995,177611,,
104,LifeAsJade,LifeAsJade,YouTube Star,United States,20,Aries,April,17,2002,111350,,
