,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Dree,Low,Rapper,Somalia,27,Virgo,September,17,1994,38090,,
1,Dree,Hemingway,Model, Idaho ,34,Sagittarius,December,4,1987,82403,,
2,Dredon,Kelly,TikTok Star,Windsor,24,Cancer,July,17,1997,107620,,
3,Drederick,Irving,Basketball Player,The Bronx,56,Capricorn,January,12,1966,89354,,
4,Drebo,Drebo,Rapper,The Bronx,30,Aquarius,February,8,1992,71018,,
5,DreBae,DreBae,Rapper, California ,25,Taurus,May,18,1997,134406,,
6,Dream,Dream,YouTube Star,United States,22,Leo,August,12,1999,101,,
7,Dreams,World,YouTube Star,New Orleans,25,Scorpio,October,24,1996,45506,,
8,Dreama,Walker,TV Actress,Tampa,35,Gemini,June,20,1986,63474,,
9,Yndi,Yndi,DJ,Paris,28,Taurus,May,18,1994,102128,,
10,Dream,Kardashian,Family Member,Los Angeles,5,Scorpio,November,10,2016,1449,,
11,Dream,Carter,YouTube Star,United States,13,Aries,March,28,2009,21609,,
12,Dreadheadmillie,Dreadheadmillie,YouTube Star,United States,18,Gemini,May,24,2003,59699,,
13,Dreadhead,Krush,Dancer, Mississippi ,31,Libra,October,1,1990,27026,,
14,Dread,Mar-I,Reggae Singer,Argentina,44,Aquarius,January,31,1978,62048,,
15,DreadGuyVlogs,DreadGuyVlogs,YouTube Star, New Jersey ,24,Cancer,June,22,1997,25668,,
16,Drea,Thomas,TikTok Star,United States,29,Virgo,August,28,1992,68353,,
17,Drea,Symone,Instagram Star,Houston,27,Gemini,June,13,1994,33264,,
18,Drea,Rosas,Instagram Star, California ,27,Libra,October,3,1994,153350,,
19,Drea,Nicole,Instagram Star,Houston,31,Taurus,April,22,1991,58884,,
20,Drea,Makeup,YouTube Star,United States,23,Libra,October,7,1998,125697,,
21,Dreaknowsbest,Dreaknowsbest,TikTok Star, New York ,27,Aries,April,8,1995,13975,,
22,Drea,Garcia,Instagram Star,United States,26,Capricorn,January,12,1996,46419,,
23,Drea,angie,TikTok Star, Louisiana ,23,Aries,April,6,1999,133520,,
24,Drea,Dominique,Reality Star, New York ,37,Pisces,February,19,1985,15216,,
25,Drea,Matteo,TV Actress,Queens,50,Capricorn,January,19,1972,47178,,
26,Drea,Avent,Sportscaster,Long Beach,40,Aquarius,February,4,1982,214018,,
27,Drea,Alexa,Instagram Star,United States,29,Aries,April,8,1993,147953,,
28,Dre,Sinatra,DJ,United States,42,Libra,October,15,1979,110118,,
29,Dre,Ronayne,YouTube Star,Napa,26,Capricorn,January,1,1996,37987,,
30,Dre,P,Rapper,Toledo,39,Leo,August,17,1982,191303,,
31,Dre_OG,Reacts,YouTube Star,Niagra Falls,33,Cancer,June,27,1988,53304,,
32,Dre,Magic,Rapper, Georgia ,25,Aries,March,22,1997,79099,,
33,Dre,London,Entrepreneur,London,40,Virgo,September,6,1981,195960,,
34,Dre,Kirkpatrick,Football Player,Gadsden,32,Scorpio,October,26,1989,106362,,
35,Dre,Island,Reggae Singer,Jamaica,34,Taurus,May,2,1988,117262,,
36,Dre,Feimster,YouTube Star,United States,29,Cancer,June,23,1992,82632,,
37,Dre,Drizzle,YouTube Star, Maryland ,29,Aries,April,6,1993,36627,,
38,Dre,Drexler,YouTube Star, California ,29,Cancer,July,2,1992,21299,,
39,Dre,DiMura,TikTok Star,New Brunswick,28,Aries,March,26,1994,220814,,
40,Dre,Davis,TV Actress, CT ,36,Pisces,February,24,1986,36090,,
41,Dre,Bly,Football Player, Virginia ,44,Gemini,May,22,1977,111668,,
42,Dre,Baldwin,Self-Help Author,Philadelphia,41,Aquarius,February,3,1981,143279,,
43,Dre,Antoine,Instagram Star,United States,26,Taurus,May,1,1996,125555,,
44,Drdrillvga,Drdrillvga,YouTube Star,England,46,Virgo,September,20,1975,169272,,
45,Daniel,Williams,Doctor, PA ,,Capricorn,January,18,1856,57399,Aug 4,
46,Drazen,Ricl,Rock Singer,Yugoslavia,,Pisces,March,12,1962,177551,Dec 1,
47,Drazen,Petrovic,Basketball Player,Yugoslavia,,Libra,October,22,1964,30510,Jun 7,
48,Drazan,Jerkovic,Soccer Player,Yugoslavia,,Leo,August,6,1936,199605,Dec 9,
49,Drayton,Florence,Football Player, Georgia ,41,Sagittarius,December,19,1980,110180,,
50,Draymond,Green,Basketball Player,Saginaw,32,Pisces,March,4,1990,3921,,
51,Drayke,Drayke,TikTok Star, Michigan ,19,Scorpio,October,25,2002,3103,,
52,Draya,Michele,Reality Star,Reading,37,Aquarius,January,23,1985,6724,,
53,Drawuffe,Drawuffe,TikTok Star,United States,16,Gemini,May,27,2005,120131,,
54,Drawn,Mask,Animator,Sao Paulo,29,Aries,April,5,1993,102061,,
55,DrawingWiffWaffles,DrawingWiffWaffles,YouTube Star,United States,26,Gemini,May,22,1995,5567,,
56,Drawing,Dalia,Illustrator,Palestine,29,Cancer,July,2,1992,108978,,
57,Draw,Cute,YouTube Star,United States,,,,,,33835,,
58,Draven,Bennington,Family Member,United States,20,Aries,April,19,2002,66061,,
59,Drashti,Dhami,TV Actress,Mumbai,37,Capricorn,January,10,1985,72180,,
60,Dramasetsin,Dramasetsin,YouTube Star, Maryland ,30,Aries,April,4,1992,79428,,
61,D.R.A.M.,D.R.A.M.,Rapper,Germany,33,Leo,August,3,1988,9895,,
62,Dralin,Carswell,, Georgia ,21,Aries,April,1,2001,25703,,
63,Drako,Drako,Twitch Star,United States,31,Capricorn,January,9,1991,58129,,
64,Drako,Finny,TikTok Star,Italy,18,Virgo,September,5,2003,166004,,
65,Drakink,Drakink,YouTube Star,Brazil,25,Virgo,September,19,1996,218039,,
66,Drakeo,Drakeo,Rapper, California ,,Sagittarius,December,1,1993,11125,Dec 19,
67,Draken,Draken,eSports Player,Sweden,26,Libra,October,5,1995,96294,,
68,Drake,Wolf,Instagram Star, Maryland ,21,Libra,October,18,2000,49762,,
69,Drake,White,Country Singer,Gadsden,38,Libra,October,3,1983,80441,,
70,Drake,Starling,TikTok Star,United States,31,Capricorn,January,3,1991,205812,,
71,Drake,Sather,Screenwriter,Seattle,,Gemini,May,24,1959,69700,Mar 3,
72,Drake,Rodger,TV Actor,United States,,,,,,35322,,
73,Drake,Nevis,Football Player,Thibodaux,33,Taurus,May,8,1989,147370,,
74,Drake,Milligan,TV Actor, Texas ,23,Gemini,June,1,1998,102214,,
75,Drake,Mecham,YouTube Star, Texas ,11,Aries,March,24,2011,101968,,
76,Drake,McWhorter,YouTube Star,Fort Worth,28,Capricorn,December,27,1993,98990,,
77,Drake,McCain,World Music Singer,United States,,,,,2001,105362,,
78,Drake,Maverick,Wrestler,Birmingham,39,Aquarius,January,30,1983,38719,,
79,Drake,LaRoche,Family Member,United States,20,Aquarius,February,1,2002,123596,,
80,Drake,Kuyper,TikTok Star, CO ,24,Scorpio,October,29,1997,118597,,
81,Drake,Kiker,TikTok Star,United States,19,Virgo,August,23,2002,106213,,
82,Drake,Jensen,Country Singer,Glace Bay,52,Aries,April,15,1970,92126,,
83,Drake,Hogestyn,TV Actor,Fort Wayne,68,Libra,September,29,1953,74783,,
84,Drake,Henning,Guitarist,Little Rock,28,Virgo,September,9,1993,35760,,
85,Drake,Gaines,Family Member, Texas ,18,Taurus,May,4,2004,23791,,
86,Drake,Doremus,Screenwriter,Orange,39,Aries,March,29,1983,127049,,
87,Drake,Caggiula,Hockey Player,Pickering,27,Gemini,June,20,1994,135459,,
88,Drake,Burnette,Model,Austin,36,Capricorn,December,29,1985,158578,,
89,Drake,Bell,TV Actor,Santa Ana,35,Cancer,June,27,1986,1296,,
90,Drake,Anthony,YouTube Star, Illinois ,29,Leo,August,20,1992,31904,,
91,DraineoTV,DraineoTV,YouTube Star,United States,28,Aquarius,January,20,1994,31519,,
92,Dragos,Paiu,Bodybuilder,Bucharest,35,Aries,April,6,1987,119967,,
93,Drago,Drago,Wrestler,Mexico City,46,Leo,July,23,1975,75244,,
94,Drago,Jancar,Novelist,Maribor,74,Aries,April,13,1948,188614,,
95,Drago,Ibler,Architect,Croatia,,Leo,August,14,1894,211207,Sep 12,
96,Dragi,Gudelj,Soccer Player,Breda,24,Scorpio,November,8,1997,169257,,
97,draggiebtw,draggiebtw,Twitch Star,Northern Ireland,19,Gemini,June,10,2002,58638,,
98,Drage,Kamerman,Instagram Star,United States,23,Libra,October,19,1998,19937,,
99,Dragana,Stankovic,Model,Vienna,25,Cancer,June,25,1996,187267,,
100,Dragana,Mitar,Instagram Star,Croatia,31,Capricorn,January,1,1991,194935,,
101,Dragana,Mirkovic,Folk Singer,Serbia,54,Capricorn,January,18,1968,57593,,
