,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Joshua,Evans,YouTube Star,Macon,38,Aries,April,5,1984,3136,,
1,Joshua,Epstein,Pop Singer, Michigan ,40,Aries,March,23,1982,142473,,
2,Joshua,Egbo,TikTok Star,United States,23,Capricorn,December,23,1998,35449,,
3,Joshua,Efird,Family Member,United States,25,Cancer,July,19,1996,204790,,
4,Joshua,Eady,Movie Actor,Cape Town,26,Sagittarius,December,18,1995,41367,,
5,Joshua,Dunlop,Instagram Star,London,34,Aries,April,19,1988,146138,,
6,Joshua,Duggar,Reality Star,Tontitown,34,Pisces,March,3,1988,9766,,
7,Joshua,Dobbs,Football Player,Alpharetta,27,Aquarius,January,26,1995,48296,,
8,Joshua,Dionisio,TV Actor,Quezon City,27,Sagittarius,December,14,1994,101405,,
9,Joshua,Diong,TikTok Star,Perth,26,Capricorn,January,2,1996,141132,,
10,Josh,Cruz,TV Actor,Dubai,33,Aries,March,23,1989,19719,,
11,Joshua,Decena,YouTube Star,Abu Dhabi,23,Sagittarius,December,14,1998,120902,,
12,Joshua,Davis,Instagram Star, Louisiana ,24,Sagittarius,December,12,1997,135029,,
13,Joshua,Davidson,Entrepreneur,Philadelphia,29,Capricorn,January,18,1993,114016,,
14,juztjosh,juztjosh,TikTok Star,Charlotte,20,Capricorn,December,31,2001,5928,,
15,Joshua,Cox,TV Actor,New York City,58,Aries,April,9,1964,172315,,
16,Joshua,Cowan,Instagram Star,England,28,Leo,July,26,1993,122361,,
17,Joshua,Cottle,YouTube Star, Florida ,16,Aries,March,24,2006,119243,,
18,Joshua,Colley,Stage Actor,New Port Richey,20,Aquarius,January,20,2002,4583,,
19,Joshua,Coleman,Film Producer, Maryland ,35,Taurus,May,14,1987,50969,,
20,Joshua,Cody,Movie Actor,United States,25,Sagittarius,December,13,1996,124144,,
21,Joshua,Clottey,Boxer,Ghana,46,Pisces,March,16,1976,214759,,
22,Joshua,Close,Movie Actor,Canada,40,Virgo,August,31,1981,191734,,
23,Joshua,Clayton,Politician, Delaware ,,Cancer,July,20,1744,157800,Aug 11,
24,Joshua,Chiang,TikTok Star,United States,21,Cancer,July,8,2000,126999,,
25,Joshua,Chamberlain,War Hero, ME ,,Virgo,September,8,1828,125836,Feb 24,
26,Joshua,Castille,TV Actor,Los Angeles,27,Capricorn,January,14,1995,119479,,
27,Joshua,Case,TikTok Star,Atlanta,23,Taurus,May,19,1999,131776,,
28,Joshua,Carlon,TV Actor,Los Angeles,20,Libra,October,9,2001,18749,,
29,Joshua,Camden,TikTok Star, Oregon ,21,Pisces,February,26,2001,110819,,
30,Joshua,Calhoun,Guitarist,Elgin,36,Aries,April,4,1986,211727,,
31,Joshua,Butler,Director,St. Louis,48,Sagittarius,November,30,1973,73538,,
32,Joshua,Burt,YouTube Star, Alabama ,31,Gemini,May,21,1991,34027,,
33,Joshua,Burrage,Stage Actor, MA ,26,Libra,October,4,1995,25156,,
34,Joshua,Burner,YouTube Star,United States,29,Cancer,July,6,1992,67065,,
35,Joshua,Buchanan,TikTok Star, Ohio ,33,Leo,July,30,1988,61125,,
36,Joshua,Buatsi,Boxer,Accra,29,Pisces,March,14,1993,157859,,
37,Joshua,Brown,Reality Star, Alaska ,37,Virgo,September,18,1984,60850,,
38,Joshua,Brooks,Pop Singer,Cardiff,22,Gemini,May,28,1999,25577,,
39,Joshua,Brickman,Model,United States,35,Taurus,May,7,1987,135816,,
40,Joshua,Dougherty,TikTok Star, New York ,43,Capricorn,January,11,1979,110632,,
41,Joshua,Brenet,Soccer Player,Netherlands,28,Pisces,March,20,1994,161674,,
42,Joshua,Brand,Model,Douglas,28,Aries,April,11,1994,44331,,
43,Joshua,Bowman,TikTok Star,United States,20,Libra,October,7,2001,92965,,
44,Joshua,Bolten,Politician,"Washington, DC",67,Leo,August,16,1954,192356,,
45,Joshua,Block,TikTok Star,United States,20,Leo,August,7,2001,5265,,
46,Joshua,Black,Conceptual Artist, Utah ,38,Taurus,May,5,1984,187989,,
47,Joshua,Bitton,TV Actor,Queens,48,Sagittarius,December,19,1973,201619,,
48,Joshua,Benoliel,Photographer,Lisbon,,Capricorn,January,13,1873,213045,Feb 3,
49,Joshua,Benmore,Blogger,England,27,Libra,October,18,1994,46484,,
50,Joshua,Bell,Violinist,Bloomington,54,Sagittarius,December,9,1967,24806,,
51,Joshua,Bassett,TV Actor,Oceanside,21,Capricorn,December,22,2000,293,,
52,Joshua,Bartley,YouTube Star,Martinsburg,40,Libra,October,5,1981,86840,,
53,Joshua,Bartholomew,Pop Singer,Pembroke,37,Leo,July,30,1984,50958,,
54,Joshua,Bamiloye,Music Producer,Nigeria,30,Scorpio,November,7,1991,67813,,
55,Joshua,Atinsky,TikTok Star,United States,19,Taurus,April,22,2003,18064,,
56,Joshua,Arto,TikTok Star,England,19,Leo,July,26,2002,124697,,
57,Joshua,Arsement,Family Member,United States,16,Scorpio,November,7,2005,8207,,
58,Joshua,Arias,TikTok Star,Queens,20,Aries,March,31,2002,70046,,
59,Joshua,Allen,Dancer,Fort Worth,33,Pisces,March,13,1989,41426,,
60,Joshua,Alexander,YouTube Star,Detroit,26,Aquarius,February,13,1996,53640,,
61,Joshua,Alden,YouTube Star,United States,32,Pisces,March,10,1990,57212,,
62,Joshua,Albers,Reality Star, Idaho ,37,Cancer,July,2,1984,159072,,
63,Joshua,Alba,Movie Actor,Biloxi,39,Cancer,July,8,1982,101654,,
64,Joshua,Aguilar,Non-Fiction Author,Guatemala,33,Virgo,September,13,1988,130807,,
65,Joshua,Adams,Dancer,Australia,35,Sagittarius,December,10,1986,32312,,
