,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Neveen,Ismail,Reality Star,Egypt,39,Aquarius,January,27,1983,36107,,
1,Neve,Rafferty,Family Member,England,21,Leo,August,18,2000,136338,,
2,Neve,McIntosh,TV Actress,Scotland,50,Aries,April,9,1972,97900,,
3,Neve,Campbell,Movie Actress,Guelph,48,Libra,October,3,1973,4924,,
4,nevaehfayyee,nevaehfayyee,TikTok Star,United States,19,Pisces,February,22,2003,105263,,
5,Nevaeh,Nevaeh,Pop Singer,United States,29,Virgo,September,11,1992,10212,,
6,Nevaeh,MarvnNikky,YouTube Star,England,9,Cancer,July,6,2012,35628,,
7,Nevaeh,Jolie,R&B Singer,United States,21,Scorpio,November,13,2000,104740,,
8,Nevada,Barr,Novelist, NV ,70,Pisces,March,1,1952,24577,,
9,nevaaadaa,nevaaadaa,TikTok Star,Ukraine,17,Cancer,June,23,2004,9279,,
10,Neva,Samanci,Instagram Star,Turkey,27,Aries,March,22,1995,198802,,
11,Neva,Patterson,Movie Actress, IA ,,Aquarius,February,10,1920,117801,Dec 14,
12,Neva,Leoni,TV Actress,Rome,29,Virgo,September,2,1992,164511,,
13,Neva,Glitz,Instagram Star,United States,26,Scorpio,November,15,1995,175923,,
14,Neva,Boskin,YouTube Star,Slovenia,28,Virgo,September,20,1993,75484,,
15,Nev,Todorovic,Director,Canada,33,Gemini,May,24,1988,140643,,
16,Nev,Schulman,TV Producer,New York City,37,Libra,September,26,1984,6011,,
17,Nev,Scharrel,Voice Actress,United States,13,Capricorn,January,14,2009,28860,,
18,Neutro,Shorty,Rapper,Venezuela,28,Gemini,June,19,1993,59573,,
19,Neus,Viciana,YouTube Star,Terrassa,36,Pisces,February,22,1986,218019,,
20,Neus,SuperGuay,YouTube Star,Spain,18,Pisces,March,7,2004,108436,,
21,Neus,Snow,YouTube Star,Barcelona,27,Leo,August,9,1994,54691,,
22,Neus,Marquès,Instagram Star,Spain,33,Cancer,July,22,1988,190712,,
23,Neus,Bermejo,Model,Barcelona,26,Sagittarius,December,2,1995,195888,,
24,Neurokiller,Neurokiller,YouTube Star,Venezuela,29,Sagittarius,December,3,1992,178717,,
25,Neul,Sajang,Model,South Korea,29,Capricorn,January,3,1993,54510,,
26,Netty,Netty,TikTok Star,Chicago,22,Leo,August,8,1999,66255,,
27,ScribbleNetty,ScribbleNetty,YouTube Star,Hungary,28,Leo,August,18,1993,103669,,
28,Netty,Plays,YouTube Star,Hampshire,34,Scorpio,November,7,1987,10901,,
29,Nettie,Stevens,Geneticist, Vermont ,,Cancer,July,7,1861,137134,May 4,
30,Nettie,Stanley,Reality Star,Martinsburg,47,Cancer,July,10,1974,20517,,
31,Netta,Walker,TV Actress,Jacksonville,25,Virgo,August,23,1996,58987,,
32,Netta,Barzilai,World Music Singer,Hod HaSharon,29,Aquarius,January,22,1993,5487,,
33,Netsky,Netsky,DJ,Belgium,33,Aries,April,5,1989,79748,,
34,Neto,Reyno,Rapper,Monterrey,40,Capricorn,December,29,1981,202487,,
35,Neto,Peña,Rapper,Guadalajara,35,Aquarius,February,8,1987,160913,,
36,Neto,Murara,Soccer Player,Brazil,32,Cancer,July,19,1989,105528,,
37,Neto,Lyra,YouTube Star,Brazil,25,Libra,October,1,1996,149500,,
38,Neto,Bran,Politician,Guatemala,41,Libra,September,26,1980,218613,,
39,Neto,Bernal,World Music Singer,Mexicali,24,Libra,October,1,1997,42612,,
40,Netinho,Paula,World Music Singer,Sao Paulo,51,Cancer,July,11,1970,209272,,
41,Nethra,Raghuraman,Movie Actress,India,45,Sagittarius,November,29,1976,70518,,
42,Nethmi,Rogers,TV Actress,Sri Lanka,23,Scorpio,November,8,1998,134879,,
43,Neter,Neter,TikTok Star,Wilmington,18,Pisces,March,13,2004,95986,,
44,Neta,Snook,Pilot, IL ,,Aquarius,February,14,1896,96532,Mar 23,
45,Neta,Putri,Instagram Star,Bandung,25,Cancer,July,8,1996,82763,,
46,Neta,Barazani,TikTok Star,Israel,23,Cancer,June,21,1998,30337,,
47,Neta,Alchimister,Model,Israel,28,Taurus,April,20,1994,21531,,
48,Nesty,Nesty,Music Producer, Puerto Rico ,48,Virgo,September,5,1973,77505,,
49,Nestreya,Nestreya,Model, New York ,31,Aries,April,17,1991,166935,,
50,Nestor,Serrano,Movie Actor,The Bronx,66,Scorpio,November,5,1955,128996,,
51,Nestor,Seller,TikTok Star,Spain,18,Aries,April,17,2004,170609,,
52,Néstor,Ortigoza,Soccer Player,Argentina,37,Libra,October,7,1984,220073,,
53,Neztor,MVL,Rapper,Chihuahua,30,Pisces,February,26,1992,162850,,
54,Nestor,Kuch,YouTube Star,Canada,25,Aquarius,January,21,1997,86264,,
55,Néstor,Hoyer,World Music Singer,Venezuela,69,Aries,March,24,1953,195885,,
56,Nestor,Cortes,Baseball Player,Cuba,27,Sagittarius,December,10,1994,44969,,
57,Nestor,Chumak,Bassist,Canada,34,Aquarius,February,15,1988,140971,,
58,Nestor,Carbonell,TV Actor,New York City,54,Sagittarius,December,1,1967,62892,,
59,Néstor,Camacho,Soccer Player,Paraguay,34,Libra,October,15,1987,200355,,
60,Néstor,Bordiola,World Music Singer,Argentina,37,Sagittarius,November,26,1984,159012,,
61,Néstor,Araujo,Soccer Player,Guadalajara,30,Virgo,August,29,1991,127941,,
62,Nestor,Aguilar,YouTube Star, California ,36,Cancer,July,10,1985,9109,,
63,Nesta,Kim,TikTok Star,Kazakhstan,17,Sagittarius,November,25,2004,56414,,
64,Nesta,Cooper,TV Actress,Toronto,28,Sagittarius,December,11,1993,33452,,
65,Nesta,Carter,Runner,Manchester Parish,36,Libra,October,11,1985,126790,,
66,Nest9,Nest9,TikTok Star,Chicago,42,Gemini,June,11,1979,35491,,
