,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Grant,Uchida,YouTube Star, Hawaii ,34,Libra,October,8,1987,183215,,
1,Grant,Turnbull,TV Actor,Ireland,36,Gemini,May,23,1985,183203,,
2,Grant,Tomlinson,TikTok Star,Stockbridge,19,Leo,July,31,2002,102205,,
3,Grant,Tinker,Entrepreneur,Stamford,,Capricorn,January,11,1925,154390,Nov 28,
4,Grant,Thompson,YouTube Star,Canada,,Scorpio,November,21,1980,3266,Jul 29,
5,Grant,Thomas,Photographer,Wales,29,Scorpio,October,24,1992,33197,,
6,Grant,Goat,YouTube Star,Barrington,19,Aquarius,February,11,2003,14014,,
7,Grant,Taylor,Skateboarder,Atlanta,30,Scorpio,October,31,1991,127468,,
8,Grant,Taylor,Guitarist,Norfolk,27,Taurus,May,9,1995,130743,,
9,Grant,Sulkin,Instagram Star,England,34,Aries,April,15,1988,119781,,
10,Grant,Stevens,TikTok Star,United States,23,Capricorn,December,26,1998,138153,,
11,Grant,Show,TV Actor,Flint,60,Pisces,February,27,1962,27680,,
12,Grant,Sherrod,TikTok Star,United States,28,Aquarius,January,27,1994,173574,,
13,Grant,Shaud,TV Actor, Illinois ,61,Pisces,February,27,1961,154830,,
14,Grant,Shaffer,Family Member,San Francisco,57,Aquarius,January,27,1965,119798,,
15,Grant,Schindler,TikTok Star,United States,16,Aries,April,7,2006,202886,,
16,Grant,Schilling,YouNow Star,St. Louis,22,Aquarius,February,12,2000,59482,,
17,Grant,Schaffer,TikTok Star, Florida ,21,Virgo,September,20,2000,203155,,
18,Grant,Richardson,Instagram Star,United States,28,Gemini,June,2,1993,182694,,
19,Grant,Palmer,Movie Actor,United States,19,Virgo,August,30,2002,11490,,
20,Grant,O'Brien,YouTube Star,Columbus,36,Taurus,May,15,1986,41605,,
21,Grant,Nicholas,Rock Singer,Wales,54,Scorpio,November,12,1967,101521,,
22,Grant,Morrison,Playwright,Scotland,62,Aquarius,January,31,1960,88686,,
23,Grant,Mitchell,Movie Actor,Columbus,,Gemini,June,17,1874,141805,May 1,
24,Grant,Minor,TikTok Star,United States,21,Libra,September,26,2000,216551,,
25,Grant,Mickelson,Guitarist, Iowa ,38,Taurus,April,30,1984,163023,,
26,Grant,Mellon,TV Actor,Pittsburgh,35,Libra,September,23,1986,42037,,
27,Grant,McCartney,Reality Star,United States,34,Taurus,May,13,1988,41452,,
28,Grant,McCann,Soccer Player,Northern Ireland,42,Aries,April,15,1980,153048,,
29,Grant,Martinez,TikTok Star,United States,22,Sagittarius,November,29,1999,68297,,
