,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Michael,Kight,Soul Singer,Dublin,30,Sagittarius,December,14,1991,191548,,
1,Michael,Kidd,Dancer, New York ,,Leo,August,12,1915,168765,Dec 23,
2,Michael,Kidd-Gilchrist,Basketball Player, Pennsylvania ,28,Libra,September,26,1993,83594,,
3,Michael,Khoury,Comedian, Maryland ,25,Cancer,July,17,1996,31445,,
4,Michael,Khieu,TikTok Star,Montreal,26,Gemini,June,19,1995,80110,,
5,Michael,Jungle,Instagram Star,United States,24,Gemini,May,23,1997,194827,,
6,Michael,Ketterer,Pop Singer,United States,44,Leo,August,21,1977,38219,,
7,Michael,Kessler,TV Actor,Wiesbaden,54,Cancer,June,24,1967,101300,,
8,Michael,Kennedy,Family Member,"Washington, DC",,Pisces,February,27,1958,103445,Dec 31,
9,Michael,Kendrick,Family Member,Portland,39,Pisces,March,2,1983,67582,,
10,Michael,Kelly,TV Actor,Philadelphia,52,Gemini,May,22,1969,51391,,
11,Michael,Hutchence,Rock Singer,Sydney,,Aquarius,January,22,1960,23479,Nov 22,
12,Michael,Kelch,TikTok Star,United States,20,Aquarius,February,8,2002,167034,,
13,Michael,Keenan,Music Producer,United States,33,Aries,April,10,1989,34744,,
14,Michael,Keaton,Movie Actor, PA ,70,Virgo,September,5,1951,6003,,
15,Michael,Keane,Soccer Player,England,29,Capricorn,January,11,1993,66466,,
16,Michael,Kaye,YouTube Star,Canada,53,Scorpio,October,29,1968,88581,,
17,Michael,Kay,Sportscaster,The Bronx,61,Aquarius,February,2,1961,42021,,
18,Michael,Katsidis,Boxer,Australia,41,Leo,August,15,1980,199652,,
19,Michael,Kamen,Composer,New York City,,Aries,April,15,1948,119876,Nov 18,
20,Michael,Justin,TikTok Star,Marblehead,45,Capricorn,December,30,1976,28953,,
21,Michael,Jung,Equestrian,Germany,39,Leo,July,31,1982,186164,,
22,Michael,Joseph,Novelist,England,,Libra,September,26,1897,79561,Mar 15,
23,Michael,Jorgensen,eSports Player,Denmark,33,Pisces,March,14,1989,130042,,
